ID, OBJ, TIME
1,1340721.965702,0.277424
2,385611.917792,0.018054
3,2358134.416091,0.048315
4,9414723.997413,0.536211
5,5803181.237216,1.752232
6,8237304.609261,4.022783
7,19601143.947486,13.537982
8,25770195.738546,47.677031
9,15956982.216011,124.681393
10,21944619.771965,309.636902
